ID_PARAM,ID_VERSAO_NORMATIVA,ID_REGRA,TRIBUTO,CHAVE_PARAM,VALOR,TIPO_VALOR,TIPO_FONTE,FONTE_TITULO,FONTE_URL,DISPOSITIVO,VERSAO_NORMA,VIG_INI,VIG_FIM,DATA_CONSULTA,VERSAO_REGRA
PARAM_CBS_RATE_FRACTION,CBS_2026_08_31_V1,CBS_REGULAR_2026_NFE55,CBS,CBS_RATE_FRACTION,0.009,decimal,norm,LC 214/2025 compilada,https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm,art. 346,LC 214/2025 compilada,2026-01-01,2026-12-31,2026-09-02,cbs_2026_regular_nfe55_v1
PARAM_CBS_ASSESSMENT_PERIOD,CBS_2026_08_31_V1,CBS_REGULAR_2026_NFE55,CBS,CBS_ASSESSMENT_PERIOD,monthly,str,reg,Decreto 12.955/2026,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2026/decreto/d12955.htm,art. 43,Decreto 12.955/2026,2026-01-01,,2026-09-02,cbs_2026_regular_nfe55_v1
PARAM_CBS_NFE_MODEL,CBS_2026_08_31_V1,CBS_REGULAR_2026_NFE55,CBS,CBS_NFE_MODEL,55,str,oper,Ato Conjunto RFB CGIBS 01/2025,https://www.in.gov.br/,art. 2 par. 1 I,Ato Conjunto RFB CGIBS 01/2025,2026-01-01,,2026-09-02,cbs_2026_regular_nfe55_v1
PARAM_CBS_NFE_MANDATORY_FROM,CBS_2026_08_31_V1,CBS_REGULAR_2026_NFE55,CBS,CBS_NFE_MANDATORY_FROM,2026-08-03,date,oper,Ato Conjunto RFB CGIBS 04/2026,https://www.in.gov.br/,art. 1 I e par. 4,Ato Conjunto RFB CGIBS 04/2026,2026-08-03,,2026-09-02,cbs_2026_regular_nfe55_v1
PARAM_CBS_CST_INTEGRAL,CBS_2026_08_31_V1,CBS_REGULAR_2026_NFE55,CBS,CBS_CST_INTEGRAL,000,str,tec,Tabela CST IBS CBS 2026-06-23,https://www.gov.br/receitafederal/pt-br/acesso-a-informacao/acoes-e-programas/programas-e-atividades/reforma-tributaria-do-consumo/orientacoes-2026,linha CST 000,Tabela CST IBS CBS 2026-06-23,2026-01-01,,2026-09-02,cbs_2026_regular_nfe55_v1
PARAM_CBS_CCLASSTRIB_INTEGRAL,CBS_2026_08_31_V1,CBS_REGULAR_2026_NFE55,CBS,CBS_CCLASSTRIB_INTEGRAL,000001,str,tec,Tabela cClassTrib IBS CBS 2026-06-23,https://www.gov.br/receitafederal/pt-br/acesso-a-informacao/acoes-e-programas/programas-e-atividades/reforma-tributaria-do-consumo/orientacoes-2026,linha cClassTrib 000001,Tabela cClassTrib IBS CBS 2026-06-23,2026-01-01,,2026-09-02,cbs_2026_regular_nfe55_v1
PARAM_CBS_VCBS_TOLERANCE_CENTS,CBS_2026_08_31_V1,CBS_REGULAR_2026_NFE55,CBS,CBS_VCBS_TOLERANCE_CENTS,1,decimal,tec,NF-e Nota Tecnica 2025.002 v1.51,https://www.nfe.fazenda.gov.br/portal/listaConteudo.aspx?tipoConteudo=0xlG1bdBass=,regra UB67-10,NF-e Nota Tecnica 2025.002 v1.51,2026-01-01,,2026-09-02,cbs_2026_regular_nfe55_v1
PARAM_CBS_CREDIT_WAIVER_IF_MODALITIES_ABSENT,CBS_2026_08_31_V1,CBS_REGULAR_2026_NFE55,CBS,CBS_CREDIT_WAIVER_IF_MODALITIES_ABSENT,true,bool,norm,LC 214/2025 compilada,https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm,art. 48,LC 214/2025 compilada,2026-01-01,,2026-09-02,cbs_2026_regular_nfe55_v1
PARAM_CBS_SPLIT_PAYMENT_IMPLEMENTED,CBS_2026_08_31_V1,CBS_REGULAR_2026_NFE55,CBS,CBS_SPLIT_PAYMENT_IMPLEMENTED,false,bool,oper,Ato Conjunto RFB/CGIBS 02/2026 e rol oficial de Atos Conjuntos,https://www.cgibs.gov.br/upload/arquivos/202606/03111600-ato-conjunto-rfb-e-cibs-2827-05-29-assinado.pdf,"arts. 1-2; conclusao false por inferencia operacional limitada ao snapshot 2026-08-31 e auditoria do rol oficial em https://www.cgibs.gov.br/atos-conjuntos",Ato Conjunto RFB/CGIBS 02/2026 + rol oficial CGIBS,2026-01-01,2026-08-31,2026-09-02,cbs_2026_regular_nfe55_v1
PARAM_CBS_BUYER_COLLECTION_IMPLEMENTED,CBS_2026_08_31_V1,CBS_REGULAR_2026_NFE55,CBS,CBS_BUYER_COLLECTION_IMPLEMENTED,false,bool,oper,Receita Federal - RTC Projeto Piloto - Manual versao I 13/01/2026,https://www.gov.br/receitafederal/pt-br/acesso-a-informacao/acoes-e-programas/programas-e-atividades/reforma-tributaria-do-consumo/orientacoes-2026,"Manual RTC, secao Autorizacoes de Acesso/Apuracao Assistida; RAD apresentado como funcionalidade futura de consulta/simulacao no piloto; conclusao false limitada ao snapshot 2026-08-31",Manual RTC Projeto Piloto v1 13/01/2026 + rol oficial CGIBS,2026-01-01,2026-08-31,2026-09-02,cbs_2026_regular_nfe55_v1
PARAM_CBS_2026_COLLECTION_WAIVER_IF_ACCESSORY_COMPLIANT,CBS_2026_08_31_V1,CBS_REGULAR_2026_NFE55,CBS,CBS_2026_COLLECTION_WAIVER_IF_ACCESSORY_COMPLIANT,true,bool,reg,Decreto 12.955/2026,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2026/decreto/d12955.htm,art. 464,Decreto 12.955/2026,2026-01-01,2026-12-31,2026-09-02,cbs_2026_regular_nfe55_v1
